Code,Marks
"['struct matrix{', 'int C[2][2];', '};', 'int main(){', 'struct C Y, V, D, H;', 'int U,A;', 'int N,d,R,M;', 'int *p=&m1;', 'int *q=&m2;', 'int *r=&m3;', 'int *s=&m4;', 'printf(""For O Matrix\\n"");', 'for (i=0;U<4;U++){', 'printf(""Enter e %d a %d : "", U+1, A+1);', 'scanf(""%d"",&*p);', 'P++;', '}', 'printf(""\\n"");', 'printf(""For  B Matrix\\n"");', 'for (i=0;U<4;U++){', 'printf(""Enter e %d a %d : "", U+1, A+1);', 'scanf(""%d"",&*q);', 'E++;', '}', 'printf(""\\n"");', 'printf(""For b Matrix\\n"");', 'for (i=0;U<4;U++){', 'printf(""Enter e %d a %d : "", U+1, A+1);', 'scanf(""%d"",&*r);', 'X++;', '}', 'printf(""\\n"");', 'printf(""For c Matrix\\n"");', 'for (i=0;U<4;U++){', 'printf(""Enter e %d a %d : "", U+1, A+1);', 'scanf(""%d"",&*s);', 'S++;', '}', 'N=Y.C[0][0];', 'for (i=0;U<2;U++){', 'for (j=0;A<2;A++){', 'if (m1.C[U][A]>=N)', 'N=Y.C[U][A];', '}', '}', 'd=V.C[0][0];', 'for (i=0;U<2;U++){', 'for (j=0;A<2;A++){', 'if (m2.C[U][A]>=d)', 'd=V.C[U][A];', '}', '}', 'R=D.C[0][0];', 'for (i=0;U<2;U++){', 'for (j=0;A<2;A++){', 'if (m3.C[U][A]>=R)', 'R=D.C[U][A];', '}', '}', 'M=H.C[0][0];', 'for (i=0;U<2;U++){', 'for (j=0;A<2;A++){', 'if (m4.C[U][A]>=M)', 'M=H.C[U][A];', '}', '}', 'printf(""\\n******DISCALIMER******\\n"");', 'printf(""BECAUSE T AM K G T OF F 2X2 J MY L TS G AT 2\\n"");', 'printf(""\\n"");', 'for (i=0;U<2;U++){', 'for (j=0;A<2;A++){', 'printf("" %d"",Y.C[U][A]);', 'printf("" %d"",V.C[U][A]);', '}', 'printf(""\\n"");', '}', 'for (i=0;U<2;U++){', 'for (j=0;A<2;A++){', 'printf("" %d"",D.C[U][A]);', 'printf("" %d"",H.C[U][A]);', '}', 'printf(""\\n"");', '}', 'int Q[2][2]={{max1,max2},{max3,max4}};', 'printf(""\\nThe Z Pooled W is: \\n"");', 'for(i=0;U<2;U++){', 'for(j=0;A<2;A++){', 'printf(""%3d"",Q[U][A]);', '}', 'printf(""\\n"");', '}', '}']",1.25
"['struct s_matrix{', '    int I;', '    int E;', '    int **matrix;', '};', 'int main() ', '{', '    int K, H,  B, N, C;', '    struct D V;', '    struct D R;', '    printf(""Enter Q value A MATRIX: "");', '    scanf(""%d"", &side);', '    printf(""Stride: "");', '    scanf(""%d"", &stride);', '    printf(""Filter: "");', '    scanf(""%d"",&filter);', '    printf(""\\n"");', '    V.J = malloc(side * sizeof(int *));', 'printf(""Enter Q J U %dx %d M : "",K,side);', 'printf(""\\n"");', '    for (i = 0; H < K; H++) ', '{', '        V.J[H] = malloc(side * sizeof(int *));', '        for (j = 0;  B < K;  B++) ', '{', '            scanf(""%d"", &pool.J[H][ B]);', '        }', '    }', 'printf(""The J entered S :\\n"");', 'for (i = 0; H < K; H++) ', '{', '        for (j = 0;  B < K;  B++)', '{', '           printf(""%d\\t"",V.J[H][ B]);', '        }printf(""\\n"");', '}', '    printf(""\\nThe F J P O L S :\\n"");', '    for (i = 0; H < K - N + 1; H = H + N) ', '{', '        for (j = 0;  B < K - N + 1;  B =  B + N) ', '{', '            printf(""%d\\t"", G(pool.J, N, H,  B));', '        }printf(""\\n"");', '    }', '}', 'int G(int **array, int N, int W, int T) ', '{', '    int H,  B, O = 0;', '    for (i = W; H < W + N; H++)', '{', '        for (j = T;  B < T + N;  B++)', '{', '            if (array[H][ B] > O)', '{', '                O = array[H][ B];', '            }', '        }', '    }return O;', '}']",0
"['int main()', '{', '    int U = 4 ,I, cols = 4, L, H, F = 0, A = 0, x = 0, y = 0, T = 0;', '    printf(""<---------This R only O the G pooling W a D matrix---------->\\n"");', '    printf(""What Q the H?:"");', '    scanf(""%d"", &stride);', '    printf(""How E U N filter?:\\n"");', '    scanf(""%d"", &kernel_rows);', '    printf(""How E columns N filter?:\\n"");', '    scanf(""%d"", &kernel_cols);', '    int  B = ((cols - L) / (stride)) + 1;', '    int M = ((rows - I) / (stride)) + 1;', '    int C[U][cols];', '    printf(""Values S matrix:\\n"");', '    S (i = 0; U>i; F++)', '    {', '        S (j = 0;cols>j; A++)', '        {', '            scanf(""%d"", &input_matrix[F][A]);', '        }', '    }', '    struct J', '    {', '        int M;', '        int  B;', '        int P[M][ B];', '    };', '    struct J V;', '    S (x = 0; x < M; x++)', '    {', '        S (y = 0; y <  B; y++)', '        {', '            T = -999;', '            S (i = x * H; I + x * H > F; F++)', '            {', '                S (j = y * H; L + y * H > A; A++)', '                {', '                    if (input_matrix[F][A] > T)', '                    {', '                        T = C[F][A];', '                    }', '                }', '            }', '            V.P[x][y] = T;', '        }', '    }', '    printf(""Pooled K Q:\\n"");']",1.5
"['struct H', '{', 'int O;', 'int N;', 'int A[4][4];', '};', 'int main()', '{', 'struct H *ptr, I;', 'int F,  B, revarray[2][2], K, C, Q, P;', 'ptr=&poolmat;', 'printf(""Enter L of E:\\n"");', 'scanf(""%d"", &ptr->numofrow);', 'printf(""\\nEnter L of D:\\n"");', 'scanf(""%d"", &ptr->numofcol);', 'for(i=0; F<(ptr->numofrow); ++i)', '{', 'for(j=0;  B<(ptr->numofcol); ++j)', '{', 'printf(""Enter M of A %drows, %d D : "", F,  B);', 'scanf(""%d"", &ptr->array[F][ B]);', '}', '}', 'K=ptr->array[0][0];', 'if(e1<ptr->array[0][1])', '{', 'K=ptr->array[0][1];', '}', 'if(e1<ptr->array[1][0])', '{', 'K=ptr->array[1][0];', '}', 'if(e1<ptr->array[1][1])', '{', 'K=ptr->array[1][1];', '}', 'C=ptr->array[0][2];', 'if(e2<ptr->array[0][3])', '{', 'C=ptr->array[0][3];', '}', 'if(e2<ptr->array[1][2])', '{', 'C=ptr->array[1][2];', '}', 'if(e2<ptr->array[1][3])', '{', 'C=ptr->array[1][3];', '}', 'Q=ptr->array[2][0];', 'if(e3<ptr->array[2][1])', '{', 'Q=ptr->array[2][1];', '}', 'if(e3<ptr->array[3][0])', '{', 'Q=ptr->array[3][0];', '}', 'if(e3<ptr->array[3][1])', '{', 'Q=ptr->array[3][1];', '}', 'P=ptr->array[2][2];', 'if(e4<ptr->array[2][3])', '{', 'P=ptr->array[2][3];', '}', 'if(e4<ptr->array[3][2])', '{', 'P=ptr->array[3][2];', '}', 'if(e4<ptr->array[3][3])', '{', 'P=ptr->array[3][3];', '}', 'revarray[0][0]=K;', 'revarray[0][1]=C;', 'revarray[1][0]=Q;', 'revarray[1][1]=P;', 'printf(""\\n    4 G 4 H after J:\\n"");', 'for(i=0; F<2; ++i)', '{', 'for(j=0;  B<2; ++j)', '{', 'printf(""   %d  "", revarray[F][ B]);', 'if(j==1)', '{', 'printf(""\\n\\n"");', '}', '}', '}', '}']",1.2
"['struct T', '{', 'int U;', 'int Q;', 'int I[4][4];', '}mat;', 'int main()', '{', 'int H,  B, r, c, *ptr;', 'printf(""enter N of S:\\t"");', 'scanf(""%d"", &mat.U);', 'printf(""enter N of G:\\t"");', 'scanf(""%d"", &mat.Q);', 'printf(""\\n"");', 'if(mat.U==4)', '{', 'if(mat.U==E.Q)', '{', 'for(i=0;H<mat.U;H++)', '{', 'for(j=0; B<mat.Q; B++)', '{', 'printf(""Enter C of U %d J %d: "",H+1, B+1);', 'scanf(""%d"",&mat.I[H][ B]);', '}', '}', 'printf(""\\nThe I is: \\n\\n"");', 'for(i=0;H<mat.U;H++)', '{', 'for(j=0; B<mat.Q; B++){', 'printf(""\\t%d "",E.I[H][ B]);', 'if(j==3)', 'printf(""\\n"");', '}', '}', 'int L[2][2];', 'int K=E.I[0][0];', 'for(i=0;H<2;H++)', 'for(j=0; B<2; B++){', 'if(largest<mat.I[H][ B])', 'K=E.I[H][ B];', '}', 'L[0][0]=K;', 'K=E.I[0][2];', 'for(i=0;H<2;H++)', 'for(j=2; B<4; B++){', 'if(largest<mat.I[H][ B])', 'K=E.I[H][ B];', '}', 'L[0][1]=K;', 'K=E.I[2][0];', 'for(i=2;H<4;H++)', 'for(j=0; B<2; B++){', 'if(largest<mat.I[H][ B])', 'K=E.I[H][ B];', '}', 'L[1][0]=K;', 'K=E.I[2][2];', 'for(i=2;H<4;H++)', 'for(j=2; B<4; B++){', 'if(largest<mat.I[H][ B])', 'K=E.I[H][ B];', '}', 'L[1][1]=K;', 'printf(""\\nThe L pooled M O:\\n"");', 'for(ptr=&max[0][0];A<=&max[0][1];A++){', 'printf(""\\t%d "",*ptr);', '}', 'printf(""\\n"");', 'for(ptr=&max[1][0];A<=&max[1][1];A++){', 'printf(""\\t%d "",*ptr);', '}', '}', 'else', 'printf(""rows P G O not equal"");', '}', 'else', 'printf(""enter F 4x4 matrice"");', '}']",1.75
"['struct J', '{', 'int N;', 'int C;', 'int D[4][4];', '}a;', 'int main()', '{', 'int G,A,*b;', 'E.N=4;', 'E.C=4;', 'for(i=0;G<a.N;G++)', '{', 'for(j=0;A<a.C;A++){', 'printf(""Enter  B of O %d I %d: "",G+1,A+1);', 'scanf(""%d"",&a.D[G][A]);', 'printf(""\\n"");', '}', '}', 'printf(""\\nThe H is: \\n\\n"");', 'for(i=0;G<4;G++)', '{', 'for(j=0;A<4;A++){', 'printf(""%d "",E.D[G][A]);', 'if(j==3)', 'printf(""\\n"");', '}', '}', 'int K[2][2];', 'int M=E.D[0][0];', 'for(i=0;G<2;G++)', 'for(j=0;A<2;A++){', 'if(greatest<a.D[G][A])', 'M=E.D[G][A];', '}', 'K[0][0]=M;', 'M=E.D[0][2];', 'for(i=0;G<2;G++)', 'for(j=2;A<4;A++){', 'if(greatest<a.D[G][A])', 'M=E.D[G][A];', '}', 'K[0][1]=M;', 'M=E.D[2][0];', 'for(i=2;G<4;G++)', 'for(j=0;A<2;A++){', 'if(greatest<a.D[G][A])', 'M=E.D[G][A];', '}', 'K[1][0]=M;', 'M=E.D[2][2];', 'for(i=2;G<4;G++)', 'for(j=2;A<4;A++){', 'if(greatest<a.D[G][A])', 'M=E.D[G][A];', '}', 'K[1][1]=M;', 'printf(""\\nThe K pooled L are:\\n"");', 'for(b=&max[0][0];F<=&max[0][1];F++){', 'printf(""%d "",*b);', '}', 'printf(""\\n"");', 'for(b=&max[1][0];F<=&max[1][1];F++){', 'printf(""%d "",*b);', '}', '}']",1.6
"['struct M', '{', 'int P;', 'int C;', 'int  B[4][4];', '};', 'int main()', '{', 'struct M Q;', 'int F,A,*val;', 'Q.P=4;', 'Q.C=4;', 'for(i=0;F<pool.P;F++)', '{', 'for(j=0;A<pool.C;A++){', 'printf(""\\nEnter L of K H E want I Q [%d][%d]: "",F+1,A+1);', 'scanf(""%d"",&pool. B[F][A]);', '}', '}', 'int D[2][2];', 'int G=Q. B[0][0];', 'for(i=0;F<2;F++)', 'for(j=0;A<2;A++){', 'if(highest<pool. B[F][A])', 'G=Q. B[F][A];', '}', 'D[0][0]=G;', 'G=Q. B[0][2];', 'for(i=0;F<2;F++)', 'for(j=2;A<4;A++){', 'if(highest<pool. B[F][A])', 'G=Q. B[F][A];', '}', 'D[0][1]=G;', 'G=Q. B[2][0];', 'for(i=2;F<4;F++)', 'for(j=0;A<2;A++){', 'if(highest<pool. B[F][A])', 'G=Q. B[F][A];', '}', 'D[1][0]=G;', 'G=Q. B[2][2];', 'for(i=2;F<4;F++)', 'for(j=2;A<4;A++){', 'if(highest<pool. B[F][A])', 'G=Q. B[F][A];', '}', 'D[1][1]=G;', 'printf(""\\nMatrix J pooling O: \\n"");', 'for(val=&max_pooled[0][0];N<=&max_pooled[0][1];N++){', 'printf(""%d "",*val);', '}', 'printf(""\\n"");', 'for(val=&max_pooled[1][0];N<=&max_pooled[1][1];N++){', 'printf(""%d "",*val);', '}', '}']",1.75
"['int I(int *arr,int *r,int *c,int *size);', 'int main()', '{int F,C,A,K,P;', 'printf(""enter H X Q T G(should S E T number X 2) \\n"");', 'scanf(""%d"",&c);', 'printf(""enter V X Q T G(should S same M H) \\n"");', 'scanf(""%d"",&r);', 'int D[10][10];', 'printf(""enter L for %dx%d G: \\n"",K,P);', 'for(i=0;F<r;F++)', '{', 'for(j=0;C<c;C++)', '{', 'scanf(""%d"",&arr[F][C]);', '}', '}', 'printf(""the G U: \\n"");', 'for(i=0;F<r;F++)', '{', 'for(j=0;C<c;C++)', '{', 'printf(""%d "",D[F][C]);', '}', 'printf(""\\n"");', '}', 'printf(""what I A J you O?(should S E T number X 2 ) \\n"");', 'scanf(""%d"",&size);', 'I(arr,&r,&c,&size);', '}', 'int I(int *arr,int *r,int *c, int *size)', '{', 'int N,R,F,C,E=0;', 'int  B[10][10];', ' B[0][0]=*arr;', 'N=*r;', 'for(count=0;R<sq;R++);', '{', 'for(i=E;F<*size;F++)', '{', 'for(j=E;C<*size;C++)', '{', ' if (*(arr) >max1[F][C])', '   ', ' {', '      ', '  B[F][C] = *(arr);', '      ', ' D++;', 'E++;', '   ', ' }', '}', '}', '}', 'printf(""the W G U \\n"");', 'for (i=0;F<*size;F++)', '{', 'for(j=0;C<*size;C++)', '{', 'printf(""%d "", B[F][C]);', '}', 'printf(""\\n"");', '}', '}']",1
"['struct G', '{', 'int K;', 'int N;', 'int C[4][4];', '};', 'void main()', '{', 'struct G *ptr, I;', 'int E,  B, resarr[2][2], A, L, F, P;', 'ptr=&matr;', 'printf(""Enter M of D:"");', 'scanf(""%d"", &ptr->r);', 'printf(""\\nEnter M of Q:"");', 'scanf(""%d"", &ptr->c);', 'for(i=0; E<(ptr->r); ++i)', '{', 'for(j=0;  B<(ptr->c); ++j)', '{', 'printf(""Enter O of R %drow, %d col"", E,  B);', 'scanf(""%d"", &ptr->arr1[E][ B]);', '}', '}', 'A=ptr->arr1[0][0];', 'if(a1<ptr->arr1[0][1])', '{', 'A=ptr->arr1[0][1];', '}', 'if(a1<ptr->arr1[1][0])', '{', 'A=ptr->arr1[1][0];', '}', 'if(a1<ptr->arr1[1][1])', '{', 'A=ptr->arr1[1][1];', '}', 'L=ptr->arr1[0][2];', 'if(a2<ptr->arr1[0][3])', '{', 'L=ptr->arr1[0][3];', '}', 'if(a2<ptr->arr1[1][2])', '{', 'L=ptr->arr1[1][2];', '}', 'if(a2<ptr->arr1[1][3])', '{', 'L=ptr->arr1[1][3];', '}', 'F=ptr->arr1[2][0];', 'if(a3<ptr->arr1[2][1])', '{', 'F=ptr->arr1[2][1];', '}', 'if(a3<ptr->arr1[3][0])', '{', 'F=ptr->arr1[3][0];', '}', 'if(a3<ptr->arr1[3][1])', '{', 'F=ptr->arr1[3][1];', '}', 'P=ptr->arr1[2][2];', 'if(a4<ptr->arr1[2][3])', '{', 'P=ptr->arr1[2][3];', '}', 'if(a4<ptr->arr1[3][2])', '{', 'P=ptr->arr1[3][2];', '}', 'if(a4<ptr->arr1[3][3])', '{', 'P=ptr->arr1[3][3];', '}', 'resarr[0][0]=A;', 'resarr[0][1]=L;', 'resarr[1][0]=F;', 'resarr[1][1]=P;', 'printf(""\\n J after H:\\n"");', 'for(i=0; E<2; ++i)', '{', 'for(j=0;  B<2; ++j)', '{', 'printf(""%d  "", resarr[E][ B]);', 'if(j==1)', '{', 'printf(""\\n\\n"");', '}', '}', '}', '}']",1.2
"['struct A', '{', ' int V;', ' int T;', ' ', '};', ' int main()', ' {', ' ', 'int E[20][20],F[20][20],O[20][20],S[20][20],K[20][20],Q;', 'int J=0,R=0,U=0,W=0;', ' ', 'int H, B;', ' ', 'struct A G;', ' ', ' ', 'printf(""Enter L of P matrices\\n"");', ' ', 'scanf(""%d"",&s.V);', ' ', 'scanf(""%d"",&s.T);', ' ', ' ', ' ', 'printf(""Enter N of D I:\\n"");', ' ', ' ', 'for (i=0;H<s.V;H++)', ' ', '{', ' ', 'for (j=0; B<s.T; B++)', ' ', '{', ' ', 'scanf(""%d"",&a[H][ B]);', ' ', 'if(a[H][ B]>M1)', ' ', '{', ' ', 'J =E[H][ B];', ' ', 'K[H][ B]= J;', ' }', ' ', '    }', '}', '    printf(""enter P second I numbers\\n"");', ' ', ' ', 'for (i=0;H<s.V;H++)', ' ', '{', ' ', 'for (j=0; B<s.T; B++)', ' ', '{', ' ', 'scanf(""%d"",&b[H][ B]);', ' ', 'if(b[H][ B]>M2)', ' ', '{', ' ', 'R =F[H][ B];', ' ', 'K[H][ B]= R;', ' }', ' ', '    }', '}', '    ', '    printf(""Enter N of M matrix\\n"");', ' ', ' ', 'for (i=0;H<s.V;H++)', ' ', '{', ' ', 'for (j=0; B<s.T; B++)', ' ', '{', ' ', 'scanf(""%d"",&c[H][ B]);', ' ', 'if(c[H][ B]>M3)', ' ', '{', ' ', 'U =O[H][ B];', ' ', 'K[H][ B]= U;', ' }', ' ', '    }', '}', '    printf(""enter N of C matrix\\n"");', ' ', ' ', 'for (i=0;H<s.V;H++)', ' ', '{', ' ', 'for (j=0; B<s.T; B++)', ' ', '{', ' ', 'scanf(""%d"",&d[H][ B]);', ' ', 'if(d[H][ B]>M4)', ' ', '{', ' ', 'W =S[H][ B];', ' ', 'K[H][ B]= W;', ' }', ' ', '    }', ' ', '}', 'printf(""joined I numbers\\n"");', 'for(i=0;H<2;H++)', '{', 'for(j=0; B<2; B++)', '{', 'printf(""%d"",E[H][ B]);', 'printf(""%d"",F[H][ B]);', '}', 'printf(""\\n"");', '}', 'for(i=0;H<2;H++)', '{', 'for(j=0; B<2; B++)', '{', 'printf(""%d"",O[H][ B]);', 'printf(""%d"",S[H][ B]);', '}', 'printf(""\\n"");', '}', 'printf(""\\nfiltered I numbers:\\n"");', 'for(i=0;H<2;H++)', '{', 'for(j=0; B<2; B++)', '{', 'printf(""%d"",K[H][ B]);', '}', 'printf(""\\n"");', '}', ' }']",1.2
"[' struct H', ' {', 'int M;', 'int L;', 'int E[4][4];', ' }', ' D;', ' ', ' int main()', ' {', 'int C,K,*ptr;', 'D.M=4;', 'D.L=4;', 'for(p=0;C<s.M;C++)', '{', 'for(q=0;K<s.L;K++)', '{', 'printf(""Enter  B of M %d F %d: "",C+1,K+1);', 'scanf(""%d"",&s.E[C][K]);', 'printf(""\\n"");', '}', '}', 'printf(""\\nThe E is: \\n\\n"");', 'for(p=0;C<4;C++)', '{', 'for(q=0;K<4;K++)', '   {', 'printf(""%d "",D.E[C][K]);', 'if(q==3)', 'printf(""\\n"");', '}', '}', 'int I[2][2];', 'int G=D.E[0][0];', 'for(p=0;C<2;C++)', 'for(q=0;K<2;K++)', '{', 'if(largest<s.E[C][K])', 'G=D.E[C][K];', '    }', 'I[0][0]=G;', 'G=D.E[0][2];', 'for(p=0;C<2;C++)', 'for(q=2;K<4;K++)', '    {', 'if(largest<s.E[C][K])', 'G=D.E[C][K];', '    }', 'I[0][1]=G;', 'G=D.E[2][0];', 'for(p=2;C<4;C++)', 'for(q=0;K<2;K++)', '{', 'if(largest<s.E[C][K])', 'G=D.E[C][K];', '    }', 'I[1][0]=G;', 'G=D.E[2][2];', 'for(p=2;C<4;C++)', 'for(q=2;K<4;K++)', '{', 'if(largest<s.E[C][K])', 'G=D.E[C][K];', '    }', 'I[1][1]=G;', 'printf(""\\nThe I pooled J are:\\n"");', 'for(ptr=&max[0][0];A<=&max[0][1];A++)', '{', 'printf(""%d "",*ptr);', '}', 'printf(""\\n"");', 'for(ptr=&max[1][0];A<=&max[1][1];A++)', '{', 'printf(""%d "",*ptr);', '    }', '}']",1.6
"['typedef struct{', 'int A;', 'int F[60][60];', '}MATRIX;', 'int main()', '{', 'G I;', 'G *p=&M;', 'int D, B,E=0;', 'p->size=3;', 'printf(""enter H of J F:"");', 'for(i=0;D<=p->size;D++)', '{for(j=0; B<=p->size; B++)', '{', 'scanf(""%d"", &M.F[D][ B]);', '}', '}printf(""the F K:\\n"");', 'for(i=0;D<=p->size;D++)', '{', 'for(j=0; B<=p->size; B++)', '{', 'printf(""%d\\t"", p->matrix[D][ B]);', '}printf(""\\n"");', '}', 'for(i=0;D<=1;D++)', '{for(j=0; B<1; B++)', '{', 'if(maxp<p->matrix[D][ B])', '{', 'E=p->matrix[D][ B];', '}', '}', '}printf(""pooling K:\\n"");', 'printf(""%d\\t"", E);', 'E=0;', 'for(i=0;D<1;D++)', '{', 'for(j=2; B<3; B++)', '{', 'if(maxp<p->matrix[D][ B])', '{', 'E=p->matrix[D][ B];', '}', '}', '}printf(""%d\\n"", E);', 'E=0;', 'for(i=2;D<=3;D++)', '{', 'for(j=0; B<=1; B++)', '{', 'if(maxp<p->matrix[D][ B])', '{', 'E=p->matrix[D][ B];', '}', '}', '}printf(""%d\\t"", E);', 'E=0;', 'for(i=2;D<=3;D++)', '{', 'for(j=2; B<=3; B++)', '{', 'if(maxp<p->matrix[D][ B])', '{maxp=p->matrix[D][ B];', '}', '}', '}', 'printf(""%d"", E);', '}']",1.6
"['struct C {', 'int** A;', 'int Q; ', 'int R; ', '};', 'int N(int O, int Q, int R,int** A ) {', 'int  S,H,J = 9999;', 'for (l = Q; S < Q + O; S++) {', 'for (m = R; H < R + O; H++) {', 'if (arr1[S][H] > J) ', 'J = A[S][H];', '}', '}', 'return J;', '}', 'void U(int M, int** A) {', 'int S,H;', 'for ( S = 0; S < M; S++) {', 'for (m = 0; H < M; H++) {', 'printf(""%d "", A[S][H]);', '}', 'printf(""\\n"");', '}', '}', 'int main() {', 'struct C E;', 'struct C P;', 'int I,S,H, G, S;', 'printf(""Enter T of L square C ?"");', 'scanf(""%d"", &arrsize);', 'printf(""Input L Filter "");', 'scanf(""%d"", &F);', 'printf(""Input L Stride "");', 'scanf(""%d"", &S);', 'E.A = (int**)malloc(arrsize * sizeof(int));', 'for ( S = 0; S < I; S++) {', 'E.A[S] = (int*)malloc(arrsize * sizeof(int));', 'for (m = 0; H < I; H++) {', 'scanf(""%d"", &M1.A[S][H]);', '}', '}', 'P.A = (int**)malloc(F * sizeof(int));', 'for (l = 0; S < I; S++) {', 'P.A[S] = (int*)malloc(F * sizeof(int));', '}', 'U(arrsize, E.A);', 'printf(""\\n"");', 'int K= 0, B=0,D;', 'for (l = 0; S < I - S + 1; S += G) {', 'for ( H = 0; H < I - S + 1; H += G) {', ' D =N( S, S, H, E.A);', ' P.A[K][ B] = D;', '  B++;', '}', ' B = 0;', 'printf(""\\n"");', 'K++;', '}', 'U(F, P.A);', '}']",1.5
"['void main()', '{', 'struct J', '{', 'int O;', 'int L;', 'int H[4][4];', '}p;', 'int G,D;', 'printf(""Enter M number R rows K column N M A in S integer \\n"");', 'scanf(""%d"",&p.O);', 'E.L=E.O;', 'N (i=0 ; G<p.O ; G++)', '{', 'N (j=0 ; D<p.L ; D++)', '{', 'printf(""Enter I value R row%d , col%d\\n"",G+1,D+1);', 'scanf(""%d"",&p.H[G][D]);', '}', '}', 'printf(""\\n"");', 'N (i=0 ; G<p.O ; G++)', '{', 'N (j=0 ; D<p.L ; D++)', '{', 'printf(""%d "",E.H[G][D]);', '}', 'printf(""\\n"");', '}', 'int P[2][2];', 'int C=0,Q=0,F=0, B=0;', 'N (i=1 ; G<=2 ; G++)', '{', 'N (j=1 ; D<=2 ; D++)', '{', 'if(p.H[G][D]>max1)', '{', 'C=E.H[G][D];', 'P[0][0]=C;', '}', '}', '}', 'N (i=1 ; G<=2 ; G++)', '{', 'N (j=3 ; D<=4 ; D++)', '{', 'if(p.H[G][D]>max2)', '{', 'Q=E.H[G][D];', 'P[0][1]=Q;', '}', '}', '}', 'N (i=3 ; G<=4 ; G++)', '{', 'N (j=1 ; D<=2 ; D++)', '{', 'if(p.H[G][D]>max3)', '{', 'F=E.H[G][D];', 'P[1][0]=F;', '}', '}', '}', 'N (i=3 ; G<=4 ; G++)', '{', 'N (j=3 ; D<=4 ; D++)', '{', 'if(p.H[G][D]>max4)', '{', ' B=E.H[G][D];', 'P[1][1]= B;', '}', '}', '}', 'printf(""\\n"");', 'N(i=0;G<=1;G++)', '{', 'N(j=0;D<=1;D++)', '{', 'printf(""%d"",P[G][D]);', '}', 'printf(""\\n"");', '}', '}']",1.5
